level,backend,rho,ci_lo,ci_hi,n
pooled,timesfm_resid,+0.2334,,,340
within_ucr,timesfm_resid,-0.1776,,,230
within_nasa,timesfm_resid,-0.0851,,,81
within_smd,timesfm_resid,+0.0427,,,28
within_psm,timesfm_resid,,,,1
pooled,tirex_resid,+0.2361,,,340
within_ucr,tirex_resid,-0.2220,,,230
within_nasa,tirex_resid,-0.0732,,,81
within_smd,tirex_resid,-0.0837,,,28
within_psm,tirex_resid,,,,1
pooled,chronos_base_resid,+0.3002,,,340
within_ucr,chronos_base_resid,-0.1726,,,230
within_nasa,chronos_base_resid,-0.0459,,,81
within_smd,chronos_base_resid,+0.0471,,,28
within_psm,chronos_base_resid,,,,1
pooled,chronos_small_resid,+0.3046,,,340
within_ucr,chronos_small_resid,-0.1744,,,230
within_nasa,chronos_small_resid,-0.0462,,,81
within_smd,chronos_small_resid,+0.0367,,,28
within_psm,chronos_small_resid,,,,1
within_series,all_four_backends,-0.4152,-0.4798,-0.3500,340
