device,detector,dataset,series,n_test,n_channels,runtime_s,cold_s,points_per_s,peak_mb,rss_mb,other_py,status
cuda,iforest,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,0.744,0.733,60226.3,0.0,549.9,3,ok
cuda,lof,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,0.469,2.042,95410.5,0.0,561.7,3,ok
cuda,knn,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,0.287,1.926,155982.9,0.0,564.0,3,ok
cuda,ae,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,2.32,3.619,19305.5,42.3,1074.6,3,ok
cuda,chronos_small,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,0.115,7.909,391121.6,249.5,1461.6,3,ok
cuda,chronos_base,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,0.34,8.555,131591.2,795.4,1477.8,3,ok
cuda,timesfm,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,3.43,8.654,13058.0,1386.9,2042.2,3,ok
cuda,tirex,ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,44795,1,7.039,10.784,6363.4,593.6,1303.2,3,ok
cuda,iforest,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.303,0.32,24840.5,0.0,544.4,3,ok
cuda,lof,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.094,1.777,79828.3,0.0,570.3,3,ok
cuda,knn,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.053,1.661,142762.1,0.0,556.1,3,ok
cuda,ae,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.267,1.531,28125.7,25.5,1050.8,3,ok
cuda,chronos_small,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.027,7.751,274152.1,171.9,1459.8,3,ok
cuda,chronos_base,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.078,7.97,96449.0,592.6,1473.3,3,ok
cuda,timesfm,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,0.709,5.841,10605.0,1386.9,2037.3,3,ok
cuda,tirex,ucr,250_UCR_Anomaly_weallwalk_2951_7290_7296,7517,1,1.395,4.929,5387.7,358.9,1432.9,3,ok
cuda,iforest,smd,machine-1-1,28479,38,1.495,1.53,19044.2,0.0,570.8,3,ok
cuda,lof,smd,machine-1-1,28479,38,3.736,5.16,7622.5,0.0,579.4,3,ok
cuda,knn,smd,machine-1-1,28479,38,2.373,3.874,12001.3,0.0,578.7,3,ok
cuda,ae,smd,machine-1-1,28479,38,3.081,4.295,9242.2,669.7,1065.9,3,ok
cuda,chronos_small,smd,machine-1-1,28479,38,0.881,8.495,32314.6,249.5,1483.1,3,ok
cuda,chronos_base,smd,machine-1-1,28479,38,2.462,10.448,11566.3,795.4,1478.7,3,ok
cuda,timesfm,smd,machine-1-1,28479,38,27.33,31.68,1042.0,1386.9,2072.3,3,ok
cuda,tirex,smd,machine-1-1,28479,38,53.541,58.032,531.9,593.6,1334.0,3,ok
cuda,iforest,smd,machine-1-2,23694,38,1.277,1.318,18554.0,0.0,565.4,3,ok
cuda,lof,smd,machine-1-2,23694,38,2.783,4.383,8513.1,0.0,573.5,3,ok
cuda,chronos_small,smd,machine-1-2,23694,38,0.748,8.78,31675.1,249.5,1476.4,3,ok
cuda,chronos_base,smd,machine-1-2,23694,38,2.104,10.017,11259.8,795.4,1477.8,3,ok
cuda,timesfm,smd,machine-1-2,23694,38,23.522,27.448,1007.3,1386.9,2067.8,3,ok
cuda,tirex,smd,machine-1-2,23694,38,44.763,49.393,529.3,593.6,1328.3,3,ok
cuda,iforest,nasa,P-1,8505,25,0.525,0.55,16188.4,0.0,549.6,3,ok
cuda,lof,nasa,P-1,8505,25,0.246,1.892,34579.2,0.0,571.5,3,ok
cuda,knn,nasa,P-1,8505,25,0.143,1.799,59440.9,0.0,564.1,3,ok
cuda,ae,nasa,P-1,8505,25,0.439,1.924,19388.5,196.2,1139.3,3,ok
cuda,chronos_small,nasa,P-1,8505,25,0.264,8.86,32241.0,249.5,1466.8,3,ok
cuda,chronos_base,nasa,P-1,8505,25,0.784,9.079,10843.5,795.4,1482.5,3,ok
cuda,timesfm,nasa,P-1,8505,25,7.787,13.537,1092.2,1386.9,2046.5,3,ok
cuda,tirex,nasa,P-1,8505,25,16.175,20.246,525.8,593.6,1442.8,3,ok
cuda,iforest,nasa,S-1,7331,25,0.445,0.452,16484.5,0.0,550.5,3,ok
cuda,lof,nasa,S-1,7331,25,0.219,1.841,33462.3,0.0,560.8,3,ok
cuda,knn,nasa,S-1,7331,25,0.127,1.772,57903.4,0.0,559.1,3,ok
cuda,ae,nasa,S-1,7331,25,0.406,1.67,18061.6,184.2,1127.5,3,ok
cuda,chronos_small,nasa,S-1,7331,25,0.223,8.275,32934.9,249.5,1468.5,3,ok
cuda,chronos_base,nasa,S-1,7331,25,0.646,8.686,11343.9,795.4,1484.4,3,ok
