dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
nasa,E-9,smap,point,iforest,default,,0.08068,0.12983,0.75034,0.23269,0.55,,0.0,8302,25,0.04228,ok
nasa,E-9,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.12604,0.10645,0.98552,0.27333,1.29,5.62,0.0,8302,25,0.04228,ok
nasa,E-9,smap,point,lof,default,,0.32133,0.32233,0.98796,0.5,1.25,,0.0,8302,25,0.04228,ok
nasa,E-9,smap,point,lof,tuned,"{'w': 200, 'k': 10}",0.2239,0.3223,0.97522,0.38095,0.89,2.14,0.0,8302,25,0.04228,ok
nasa,E-9,smap,point,knn,default,,0.27895,0.30212,0.98761,0.49713,0.59,,0.0,8302,25,0.04228,ok
nasa,E-9,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.18598,0.17035,0.98552,0.28161,1.63,1.91,0.0,8302,25,0.04228,ok
nasa,E-9,smap,point,ae,default,,0.45802,0.39983,0.99201,0.5435,8.51,,194.2,8302,25,0.04228,ok
nasa,E-9,smap,point,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.62727,0.61632,0.99135,0.71429,2.8,7.38,0.0,8302,25,0.04228,ok
nasa,E-11,smap,contextual,iforest,default,,0.0482,0.0687,0.80505,0.10012,1.85,,17.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.06506,0.07639,0.7986,0.26946,1.33,5.9,0.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,lof,default,,0.84743,0.71481,0.82197,0.66616,0.79,,17.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,lof,tuned,"{'w': 200, 'k': 10}",0.83471,0.73657,0.83171,0.66616,0.93,2.12,0.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,knn,default,,0.89259,0.73119,0.82143,0.68211,0.6,,17.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,knn,tuned,"{'w': 50, 'k': 3}",0.93845,0.70933,0.99282,0.8788,1.47,1.79,0.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,ae,default,,0.12494,0.18157,0.79242,0.21341,2.4,,196.3,8514,25,0.03465,ok
nasa,E-11,smap,contextual,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.16651,0.22775,0.79278,0.2843,2.81,7.88,0.0,8514,25,0.03465,ok
nasa,E-13,smap,contextual,iforest,default,,0.03339,0.05026,0.66513,0.05068,1.85,,17.0,8640,25,0.03056,ok
nasa,E-13,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.14201,0.14186,0.73068,0.26588,2.06,5.87,0.0,8640,25,0.03056,ok
nasa,E-13,smap,contextual,lof,default,,0.03566,0.05269,0.70031,0.04388,0.79,,17.0,8640,25,0.03056,ok
nasa,E-13,smap,contextual,lof,tuned,"{'w': 100, 'k': 30}",0.03687,0.05432,0.70331,0.04694,1.17,2.19,0.0,8640,25,0.03056,ok
nasa,E-13,smap,contextual,knn,default,,0.03179,0.04734,0.6883,0.02426,0.73,,17.0,8640,25,0.03056,ok
nasa,E-13,smap,contextual,knn,tuned,"{'w': 50, 'k': 5}",0.06221,0.06747,0.71027,0.14661,1.63,1.64,0.0,8640,25,0.03056,ok
nasa,E-13,smap,contextual,ae,default,,0.02295,0.03579,0.65595,0.0,2.09,,198.1,8640,25,0.03056,ok
nasa,E-13,smap,contextual,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.02459,0.03778,0.67719,0.02761,3.19,7.73,0.0,8640,25,0.03056,ok
nasa,D-1,smap,point,iforest,default,,0.35435,0.35502,0.85472,0.25,1.87,,17.0,8509,25,0.38301,ok
nasa,D-1,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.37414,0.37613,0.65404,0.11047,1.95,5.71,0.0,8509,25,0.38301,ok
nasa,D-1,smap,point,lof,default,,0.25752,0.26174,0.85483,0.25,0.78,,17.0,8509,25,0.38301,ok
nasa,D-1,smap,point,lof,tuned,"{'w': 100, 'k': 50}",0.25752,0.26174,0.85483,0.25,1.34,2.21,0.0,8509,25,0.38301,ok
nasa,D-1,smap,point,knn,default,,0.26306,0.26684,0.85998,0.25,0.61,,17.0,8509,25,0.38301,ok
nasa,D-1,smap,point,knn,tuned,"{'w': 200, 'k': 1}",0.27407,0.27674,0.86058,0.25,0.79,1.71,0.0,8509,25,0.38301,ok
nasa,D-1,smap,point,ae,default,,0.49392,0.50016,0.87293,0.37877,2.16,,196.1,8509,25,0.38301,ok
nasa,D-1,smap,point,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.62117,0.62133,0.8688,0.65348,3.41,7.31,0.0,8509,25,0.38301,ok
nasa,P-3,smap,point,iforest,default,,0.16773,0.19561,0.91656,0.25,1.83,,17.0,8493,25,0.15731,ok
nasa,P-3,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.12934,0.14841,0.77681,0.13077,1.98,5.88,0.0,8493,25,0.15731,ok
nasa,P-3,smap,point,lof,default,,0.12713,0.14708,0.9156,0.25,0.76,,17.0,8493,25,0.15731,ok
nasa,P-3,smap,point,lof,tuned,"{'w': 200, 'k': 10}",0.14527,0.17686,0.91615,0.25,0.91,2.17,0.0,8493,25,0.15731,ok
nasa,P-3,smap,point,knn,default,,0.15664,0.18568,0.91615,0.25,0.62,,17.0,8493,25,0.15731,ok
nasa,P-3,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.12241,0.14039,0.74255,0.11739,1.51,1.66,0.0,8493,25,0.15731,ok
nasa,P-3,smap,point,ae,default,,0.19941,0.20443,0.93784,0.25,2.19,,196.0,8493,25,0.15731,ok
nasa,P-3,smap,point,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.2527,0.25541,0.93742,0.37362,2.8,7.22,0.0,8493,25,0.15731,ok
nasa,D-3,smap,point,iforest,default,,0.43567,0.45375,0.79122,0.33365,2.1,,17.0,8640,25,0.37917,ok
nasa,D-3,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.44447,0.46634,0.89993,0.41102,2.01,5.97,0.0,8640,25,0.37917,ok
nasa,D-3,smap,point,lof,default,,0.30972,0.32203,0.63785,0.20787,0.8,,17.0,8640,25,0.37917,ok
nasa,D-3,smap,point,lof,tuned,"{'w': 100, 'k': 30}",0.3189,0.33154,0.70501,0.24602,1.37,2.3,0.0,8640,25,0.37917,ok
nasa,D-3,smap,point,knn,default,,0.33395,0.34656,0.67745,0.23665,0.61,,17.0,8640,25,0.37917,ok
nasa,D-3,smap,point,knn,tuned,"{'w': 50, 'k': 5}",0.37286,0.38748,0.87221,0.37301,1.59,1.7,0.0,8640,25,0.37917,ok
nasa,D-3,smap,point,ae,default,,0.44877,0.45902,0.72613,0.27579,2.29,,198.1,8640,25,0.37917,ok
nasa,D-3,smap,point,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.30069,0.30928,0.66229,0.22014,2.86,7.25,0.0,8640,25,0.37917,ok
nasa,A-2,smap,contextual,iforest,default,,0.00804,0.01269,0.66286,0.0,1.99,,17.0,7914,25,0.01403,ok
nasa,A-2,smap,contextual,lof,default,,0.00778,0.0121,0.65345,0.0,0.7,,17.0,7914,25,0.01403,ok
nasa,A-2,smap,contextual,knn,default,,0.00752,0.01201,0.80377,0.0,0.54,,17.0,7914,25,0.01403,ok
nasa,A-2,smap,contextual,ae,default,,0.00801,0.01285,0.68609,0.0,1.84,,191.9,7914,25,0.01403,ok
nasa,A-4,smap,contextual,iforest,default,,0.00879,0.01365,0.74956,0.0,1.77,,17.0,8080,25,0.01374,ok
nasa,A-4,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.00974,0.01409,0.66485,0.0,2.1,5.83,0.0,8080,25,0.01374,ok
nasa,A-4,smap,contextual,lof,default,,0.00825,0.01284,0.64449,0.0,0.92,,17.0,8080,25,0.01374,ok
nasa,A-4,smap,contextual,lof,tuned,"{'w': 100, 'k': 30}",0.00816,0.01269,0.63713,0.0,1.09,2.45,0.0,8080,25,0.01374,ok
nasa,A-4,smap,contextual,knn,default,,0.0079,0.01229,0.78641,0.0,0.57,,17.0,8080,25,0.01374,ok
nasa,A-4,smap,contextual,knn,tuned,"{'w': 50, 'k': 5}",0.00903,0.01324,0.66928,0.0,1.34,1.48,0.0,8080,25,0.01374,ok
nasa,A-4,smap,contextual,ae,default,,0.00863,0.01439,0.70855,0.0,1.91,,191.2,8080,25,0.01374,ok
nasa,A-4,smap,contextual,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.00882,0.0142,0.69446,0.0,2.7,7.21,0.0,8080,25,0.01374,ok
nasa,G-2,smap,point,iforest,default,,0.00832,0.01266,0.92976,0.00589,1.73,,17.0,7361,25,0.00557,ok
nasa,G-2,smap,point,lof,default,,0.02141,0.03272,0.83714,0.04827,0.63,,17.0,7361,25,0.00557,ok
nasa,G-2,smap,point,knn,default,,0.0194,0.0291,0.92976,0.04662,0.52,,17.0,7361,25,0.00557,ok
nasa,G-2,smap,point,ae,default,,0.11053,0.16089,0.66818,0.23276,1.65,,186.8,7361,25,0.00557,ok
nasa,D-6,smap,point,iforest,default,,0.21489,0.1798,0.78543,0.40889,1.73,,17.0,7884,25,0.01027,ok
nasa,D-6,smap,point,lof,default,,0.15059,0.12541,0.84196,0.29947,0.75,,17.0,7884,25,0.01027,ok
nasa,D-6,smap,point,knn,default,,0.08959,0.07676,0.8081,0.18867,0.54,,17.0,7884,25,0.01027,ok
nasa,D-6,smap,point,ae,default,,0.01157,0.01699,0.89006,0.0,1.76,,191.5,7884,25,0.01027,ok
nasa,F-1,smap,point,iforest,default,,0.00632,0.01001,0.44519,0.0,2.01,,17.0,8584,25,0.01177,ok
nasa,F-1,smap,point,iforest,tuned,"{'w': 50, 'n_estimators': 200}",0.00792,0.01124,0.46184,0.0,1.94,5.76,0.0,8584,25,0.01177,ok
nasa,F-1,smap,point,lof,default,,0.01397,0.01828,0.10764,0.0,0.77,,17.0,8584,25,0.01177,ok
nasa,F-1,smap,point,lof,tuned,"{'w': 100, 'k': 30}",0.0099,0.01348,0.43586,0.0,1.14,2.24,0.0,8584,25,0.01177,ok
nasa,F-1,smap,point,knn,default,,0.00757,0.01173,0.42885,0.0,0.61,,17.0,8584,25,0.01177,ok
nasa,F-1,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.00795,0.01112,0.46004,0.0033,1.8,1.59,0.0,8584,25,0.01177,ok
nasa,F-1,smap,point,ae,default,,0.00833,0.01241,0.43493,0.0,2.26,,196.9,8584,25,0.01177,ok
nasa,F-1,smap,point,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 16}",0.00846,0.01283,0.43059,0.0,3.51,7.85,0.0,8584,25,0.01177,ok
nasa,G-3,smap,point,iforest,default,,0.0115,0.01641,0.8089,0.03418,1.77,,17.0,7907,25,0.00645,ok
nasa,G-3,smap,point,lof,default,,0.01385,0.01952,0.80941,0.04146,0.67,,17.0,7907,25,0.00645,ok
nasa,G-3,smap,point,knn,default,,0.01194,0.01697,0.80941,0.03532,0.61,,17.0,7907,25,0.00645,ok
nasa,G-3,smap,point,ae,default,,0.00741,0.01117,0.70069,0.00219,1.84,,191.8,7907,25,0.00645,ok
nasa,T-2,smap,point,iforest,default,,0.13118,0.13793,0.64562,0.06507,1.87,,17.0,8625,25,0.20696,ok
nasa,T-2,smap,point,iforest,tuned,"{'w': 100, 'n_estimators': 100}",0.12918,0.13544,0.63751,0.06254,1.76,6.42,0.0,8625,25,0.20696,ok
nasa,T-2,smap,point,lof,default,,0.17367,0.18829,0.65895,0.15683,0.97,,17.0,8625,25,0.20696,ok
nasa,T-2,smap,point,lof,tuned,"{'w': 50, 'k': 30}",0.1178,0.12337,0.54085,0.03008,1.82,2.44,0.0,8625,25,0.20696,ok
nasa,T-2,smap,point,knn,default,,0.12412,0.12987,0.62151,0.05194,0.6,,17.0,8625,25,0.20696,ok
nasa,T-2,smap,point,knn,tuned,"{'w': 50, 'k': 3}",0.12033,0.12584,0.58381,0.03939,1.54,1.68,0.0,8625,25,0.20696,ok
nasa,T-2,smap,point,ae,default,,0.54663,0.56352,0.86681,0.83887,2.14,,198.0,8625,25,0.20696,ok
nasa,T-2,smap,point,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.22403,0.23434,0.65777,0.20123,3.28,7.6,0.0,8625,25,0.20696,ok
nasa,D-9,smap,point,iforest,default,,0.15065,0.159,0.31026,0.06804,1.63,,17.0,7406,25,0.15609,ok
nasa,D-9,smap,point,lof,default,,0.8914,0.86019,0.99742,1.0,0.66,,17.0,7406,25,0.15609,ok
nasa,D-9,smap,point,knn,default,,0.89119,0.85992,0.99742,1.0,0.56,,17.0,7406,25,0.15609,ok
nasa,D-9,smap,point,ae,default,,0.90643,0.8766,0.9987,1.0,1.76,,187.1,7406,25,0.15609,ok
nasa,G-4,smap,point,iforest,default,,0.00287,0.00452,0.60386,0.0,1.87,,17.0,7632,25,0.00406,ok
nasa,G-4,smap,point,lof,default,,0.13189,0.22388,0.83582,0.32804,0.7,,17.0,7632,25,0.00406,ok
nasa,G-4,smap,point,knn,default,,0.13157,0.22182,0.78051,0.32804,0.53,,17.0,7632,25,0.00406,ok
nasa,G-4,smap,point,ae,default,,0.99406,0.86003,0.99922,0.87838,2.38,,189.1,7632,25,0.00406,ok
nasa,D-11,smap,point,iforest,default,,0.00857,0.01267,0.70211,0.0,1.61,,17.0,7431,25,0.00821,ok
nasa,D-11,smap,point,lof,default,,0.06,0.10192,0.36319,0.19396,0.69,,17.0,7431,25,0.00821,ok
nasa,D-11,smap,point,knn,default,,0.0602,0.10156,0.36672,0.19396,0.54,,17.0,7431,25,0.00821,ok
nasa,D-11,smap,point,ae,default,,0.0592,0.10191,0.3575,0.19427,1.7,,187.1,7431,25,0.00821,ok
nasa,B-1,smap,point,iforest,default,,0.00893,0.01334,0.0455,0.0,1.67,,17.0,8044,25,0.00883,ok
nasa,B-1,smap,point,lof,default,,0.01232,0.023,0.0,0.0,0.65,,17.0,8044,25,0.00883,ok
nasa,B-1,smap,point,knn,default,,0.01232,0.02299,0.0,0.0,0.53,,17.0,8044,25,0.00883,ok
nasa,B-1,smap,point,ae,default,,0.01216,0.02352,0.0,0.0,1.69,,193.1,8044,25,0.00883,ok
nasa,G-7,smap,mixed,iforest,default,,0.98006,0.9575,0.9981,0.98318,1.73,,17.0,8029,25,0.03338,ok
nasa,G-7,smap,mixed,lof,default,,0.04258,0.07477,0.70794,0.13333,0.69,,17.0,8029,25,0.03338,ok
nasa,G-7,smap,mixed,knn,default,,0.19716,0.25863,0.85641,0.46904,0.52,,17.0,8029,25,0.03338,ok
nasa,G-7,smap,mixed,ae,default,,0.16834,0.237,0.86133,0.42821,1.92,,193.1,8029,25,0.03338,ok
nasa,R-1,smap,point,iforest,default,,0.01118,0.01677,0.08786,0.0,1.67,,17.0,7244,25,0.01118,ok
nasa,R-1,smap,point,iforest,tuned,"{'w': 400, 'n_estimators': 100}",0.01118,0.01677,0.19009,0.0,2.11,5.01,0.0,7244,25,0.01118,ok
nasa,R-1,smap,point,lof,default,,0.07952,0.12348,0.45727,0.24143,0.67,,17.0,7244,25,0.01118,ok
nasa,R-1,smap,point,lof,tuned,"{'w': 100, 'k': 50}",0.07952,0.12348,0.45727,0.24143,0.76,2.23,0.0,7244,25,0.01118,ok
nasa,R-1,smap,point,knn,default,,0.07969,0.12386,0.45717,0.24143,0.49,,17.0,7244,25,0.01118,ok
nasa,R-1,smap,point,knn,tuned,"{'w': 100, 'k': 3}",0.07996,0.12298,0.45705,0.24143,0.67,1.82,0.0,7244,25,0.01118,ok
nasa,R-1,smap,point,ae,default,,0.28254,0.33223,0.63437,0.53333,2.21,,183.6,7244,25,0.01118,ok
nasa,R-1,smap,point,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 8}",0.28239,0.33226,0.63437,0.53333,1.95,7.37,0.0,7244,25,0.01118,ok
nasa,A-6,smap,point,iforest,default,,0.00751,0.01311,0.9653,0.0,1.31,,17.0,4453,25,0.00921,ok
nasa,A-6,smap,point,lof,default,,0.96858,0.90097,0.99943,0.97093,0.21,,17.0,4453,25,0.00921,ok
nasa,A-6,smap,point,knn,default,,0.99041,0.91986,0.99973,0.97727,0.16,,17.0,4453,25,0.00921,ok
nasa,A-6,smap,point,ae,default,,0.99882,0.94594,0.99987,0.98034,0.83,,153.3,4453,25,0.00921,ok
nasa,D-13,smap,point,iforest,default,,0.02101,0.03152,0.24181,0.0,1.45,,17.0,7663,25,0.02101,ok
nasa,D-13,smap,point,lof,default,,0.02808,0.04351,0.0,0.0,0.49,,17.0,7663,25,0.02101,ok
nasa,D-13,smap,point,knn,default,,0.02808,0.04352,0.0,0.0,0.38,,17.0,7663,25,0.02101,ok
nasa,D-13,smap,point,ae,default,,0.02826,0.04388,0.0,0.0,1.59,,184.8,7663,25,0.02101,ok
nasa,A-8,smap,contextual,iforest,default,,0.3613,0.36974,0.62662,0.14373,1.69,,17.0,8375,25,0.45445,ok
nasa,A-8,smap,contextual,lof,default,,0.27603,0.28313,0.34986,0.05675,0.37,,17.0,8375,25,0.45445,ok
nasa,A-8,smap,contextual,knn,default,,0.27603,0.28313,0.34986,0.05675,0.29,,17.0,8375,25,0.45445,ok
nasa,A-8,smap,contextual,ae,default,,0.53694,0.54152,0.67484,0.32948,1.34,,191.9,8375,25,0.45445,ok
nasa,F-3,smap,contextual,iforest,default,,0.02377,0.03308,0.53234,0.06338,1.8,,17.0,8376,25,0.00489,ok
nasa,F-3,smap,contextual,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.2365,0.15824,0.64211,0.36922,1.36,6.64,0.0,8376,25,0.00489,ok
nasa,F-3,smap,contextual,lof,default,,0.88789,0.75463,0.99902,0.80649,0.85,,17.0,8376,25,0.00489,ok
nasa,F-3,smap,contextual,lof,tuned,"{'w': 200, 'k': 10}",0.19995,0.28808,0.99348,0.38715,0.89,2.24,0.0,8376,25,0.00489,ok
nasa,F-3,smap,contextual,knn,default,,0.89694,0.70525,0.99902,0.87195,0.59,,17.0,8376,25,0.00489,ok
nasa,F-3,smap,contextual,knn,tuned,"{'w': 50, 'k': 3}",0.99827,0.82538,0.99901,0.94886,1.4,1.59,0.0,8376,25,0.00489,ok
nasa,F-3,smap,contextual,ae,default,,1.0,0.86827,0.99901,0.94886,2.11,,194.9,8376,25,0.00489,ok
nasa,F-3,smap,contextual,ae,tuned,"{'w': 50, 'hidden': 32, 'latent': 16}",0.99942,0.89553,0.99901,0.94886,3.29,7.44,0.0,8376,25,0.00489,ok
nasa,M-1,msl,contextual,iforest,default,,0.32604,0.35585,0.41559,0.00224,1.29,,17.0,2277,55,0.5011,ok
nasa,M-1,msl,contextual,lof,default,,0.75535,0.77062,0.90827,0.47852,0.52,,17.0,2277,55,0.5011,ok
nasa,M-1,msl,contextual,knn,default,,0.75453,0.77931,0.93887,0.48293,0.31,,17.0,2277,55,0.5011,ok
nasa,M-1,msl,contextual,ae,default,,0.54739,0.56422,0.88349,0.4313,1.16,,187.1,2277,55,0.5011,ok
nasa,S-2,msl,point,iforest,default,,0.00857,0.01279,0.81144,0.0,1.15,,17.0,1827,55,0.00602,ok
nasa,S-2,msl,point,lof,default,,0.94129,0.83761,0.99898,0.93182,0.22,,17.0,1827,55,0.00602,ok
nasa,S-2,msl,point,knn,default,,0.98052,0.91455,0.99898,0.93182,0.15,,17.0,1827,55,0.00602,ok
nasa,S-2,msl,point,ae,default,,1.0,0.91785,0.9987,1.0,0.76,,152.0,1827,55,0.00602,ok
nasa,T-4,msl,point,iforest,default,,0.01892,0.02859,0.43104,0.0,1.55,,17.0,2217,55,0.03112,ok
nasa,T-4,msl,point,lof,default,,0.02004,0.02986,0.36031,0.0,0.54,,17.0,2217,55,0.03112,ok
nasa,T-4,msl,point,knn,default,,0.01878,0.02826,0.40218,0.0,0.3,,17.0,2217,55,0.03112,ok
nasa,T-4,msl,point,ae,default,,0.0268,0.03958,0.6947,0.0,1.41,,183.0,2217,55,0.03112,ok
nasa,F-7,msl,contextual,iforest,default,,0.17232,0.23756,0.87862,0.26566,1.65,,17.0,5054,55,0.0837,ok
