dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
nasa,E-8,smap,point,timesfm_resid,default,,0.07666,0.08782,0.60246,0.08038,57.14,,1386.9,8532,25,0.07302,ok
nasa,E-8,smap,point,timesfm_quantile,default,,0.09292,0.10429,0.64987,0.14659,57.14,,1386.9,8532,25,0.07302,ok
nasa,E-8,smap,point,tirex_resid,default,,0.08071,0.0917,0.65986,0.08007,46.63,,1519.7,8532,25,0.07302,ok
nasa,E-8,smap,point,tirex_quantile,default,,0.08016,0.09085,0.65983,0.08186,46.63,,1519.7,8532,25,0.07302,ok
nasa,E-9,smap,point,timesfm_resid,default,,0.04387,0.05486,0.59424,0.04589,34.15,,1532.3,8302,25,0.04228,ok
nasa,E-9,smap,point,timesfm_quantile,default,,0.04385,0.05771,0.63867,0.05299,34.15,,1532.3,8302,25,0.04228,ok
nasa,E-9,smap,point,tirex_resid,default,,0.05089,0.06054,0.61385,0.05622,44.81,,1519.7,8302,25,0.04228,ok
nasa,E-9,smap,point,tirex_quantile,default,,0.04838,0.05893,0.66403,0.04956,44.81,,1519.7,8302,25,0.04228,ok
nasa,E-10,smap,contextual,timesfm_resid,default,,0.04144,0.0636,0.82032,0.06382,34.56,,1532.3,8505,25,0.03786,ok
nasa,E-10,smap,contextual,timesfm_quantile,default,,0.04042,0.05995,0.80699,0.0783,34.56,,1532.3,8505,25,0.03786,ok
nasa,E-10,smap,contextual,tirex_resid,default,,0.04097,0.05949,0.80925,0.03983,44.57,,1519.7,8505,25,0.03786,ok
nasa,E-10,smap,contextual,tirex_quantile,default,,0.04553,0.06432,0.78214,0.04545,44.57,,1519.7,8505,25,0.03786,ok
nasa,E-11,smap,contextual,chronos_small_resid,default,,0.03958,0.05622,0.80002,0.10435,19.69,,1322.8,8514,25,0.03465,ok
nasa,E-11,smap,contextual,chronos_small_quantile,default,,0.0484,0.07289,0.78694,0.08293,19.69,,1322.8,8514,25,0.03465,ok
nasa,E-11,smap,contextual,chronos_base_resid,default,,0.05054,0.06367,0.78796,0.18827,4.82,,1971.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,chronos_base_quantile,default,,0.04779,0.07528,0.79589,0.0782,4.82,,1971.0,8514,25,0.03465,ok
nasa,E-11,smap,contextual,timesfm_resid,default,,0.04252,0.05561,0.79293,0.12749,38.0,,2047.9,8514,25,0.03465,ok
nasa,E-11,smap,contextual,timesfm_quantile,default,,0.03564,0.05566,0.79988,0.06336,38.0,,2047.9,8514,25,0.03465,ok
nasa,E-11,smap,contextual,tirex_resid,default,,0.04372,0.06533,0.80311,0.08201,46.7,,2034.5,8514,25,0.03465,ok
nasa,E-11,smap,contextual,tirex_quantile,default,,0.04268,0.06051,0.78544,0.03862,46.7,,2034.5,8514,25,0.03465,ok
nasa,E-12,smap,contextual,chronos_small_resid,default,,0.06102,0.08054,0.78798,0.0775,1.24,,1740.2,8512,25,0.06849,ok
nasa,E-12,smap,contextual,chronos_small_quantile,default,,0.08049,0.10602,0.78772,0.12815,1.24,,1740.2,8512,25,0.06849,ok
nasa,E-12,smap,contextual,chronos_base_resid,default,,0.06557,0.08468,0.74689,0.16343,2.06,,1971.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,chronos_base_quantile,default,,0.07579,0.10346,0.79665,0.12052,2.06,,1971.0,8512,25,0.06849,ok
nasa,E-12,smap,contextual,timesfm_resid,default,,0.0605,0.07925,0.75375,0.0948,34.91,,2047.9,8512,25,0.06849,ok
