dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
nasa,A-8,smap,contextual,tirex_resid,default,,0.39415,0.40176,0.72191,0.33491,105.22,,593.6,8375,25,0.45445,ok
nasa,A-8,smap,contextual,tirex_quantile,default,,0.44639,0.4531,0.74709,0.31899,105.22,,593.6,8375,25,0.45445,ok
nasa,A-9,smap,contextual,tirex_resid,default,,0.34811,0.35609,0.4767,0.08292,111.45,,593.6,8434,25,0.45826,ok
nasa,A-9,smap,contextual,tirex_quantile,default,,0.44496,0.45179,0.7422,0.3141,111.45,,593.6,8434,25,0.45826,ok
nasa,F-3,smap,contextual,tirex_resid,default,,0.0392,0.03323,0.61904,0.10116,81.43,,593.6,8376,25,0.00489,ok
nasa,F-3,smap,contextual,tirex_quantile,default,,0.01195,0.0131,0.65602,0.02818,81.43,,593.6,8376,25,0.00489,ok
nasa,M-6,msl,point,tirex_resid,default,,0.07731,0.10924,0.70127,0.06809,11.77,,593.6,2049,55,0.08834,ok
nasa,M-6,msl,point,tirex_quantile,default,,0.08682,0.1147,0.77383,0.09517,11.77,,593.6,2049,55,0.08834,ok
nasa,M-1,msl,contextual,tirex_resid,default,,0.5579,0.58505,0.84604,0.37757,11.49,,593.6,2277,55,0.5011,ok
nasa,M-1,msl,contextual,tirex_quantile,default,,0.53067,0.55616,0.91829,0.43065,11.49,,593.6,2277,55,0.5011,ok
nasa,M-2,msl,contextual,tirex_resid,default,,0.53455,0.56122,0.81234,0.35235,11.64,,593.6,2277,55,0.5011,ok
nasa,M-2,msl,contextual,tirex_quantile,default,,0.52767,0.55417,0.91829,0.42832,11.64,,593.6,2277,55,0.5011,ok
nasa,S-2,msl,point,tirex_resid,default,,0.01136,0.01258,0.67281,0.02778,11.45,,593.6,1827,55,0.00602,ok
nasa,S-2,msl,point,tirex_quantile,default,,0.01028,0.0125,0.66033,0.02256,11.45,,593.6,1827,55,0.00602,ok
nasa,P-10,msl,point,tirex_resid,default,,0.05614,0.05848,0.71949,0.11246,28.92,,593.6,6100,55,0.02148,ok
nasa,P-10,msl,point,tirex_quantile,default,,0.04068,0.05214,0.75679,0.09195,28.92,,593.6,6100,55,0.02148,ok
