dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
nasa,A-8,smap,contextual,timesfm_resid,default,,0.3903,0.39853,0.72126,0.32691,90.59,,1386.9,8375,25,0.45445,ok
nasa,A-8,smap,contextual,timesfm_quantile,default,,0.46794,0.47453,0.80549,0.36085,90.59,,1386.9,8375,25,0.45445,ok
nasa,A-9,smap,contextual,chronos_small_resid,default,,0.32584,0.33325,0.42781,0.05862,49.06,,1176.6,8434,25,0.45826,ok
nasa,A-9,smap,contextual,chronos_small_quantile,default,,0.41058,0.41781,0.62065,0.1148,49.06,,1176.6,8434,25,0.45826,ok
nasa,A-9,smap,contextual,chronos_base_resid,default,,0.33474,0.34244,0.45495,0.0714,9.21,,1824.4,8434,25,0.45826,ok
nasa,A-9,smap,contextual,chronos_base_quantile,default,,0.4382,0.44859,0.72229,0.29607,9.21,,1824.4,8434,25,0.45826,ok
nasa,A-9,smap,contextual,timesfm_resid,default,,0.35396,0.36187,0.50865,0.09146,75.48,,1901.4,8434,25,0.45826,ok
nasa,A-9,smap,contextual,timesfm_quantile,default,,0.4318,0.44098,0.72325,0.29784,75.48,,1901.4,8434,25,0.45826,ok
nasa,F-3,smap,contextual,chronos_small_resid,default,,0.05754,0.03901,0.75253,0.17477,2.86,,1593.6,8376,25,0.00489,ok
nasa,F-3,smap,contextual,chronos_small_quantile,default,,0.01558,0.01613,0.61255,0.03617,2.86,,1593.6,8376,25,0.00489,ok
nasa,F-3,smap,contextual,chronos_base_resid,default,,0.02059,0.02094,0.71555,0.04883,3.93,,1824.4,8376,25,0.00489,ok
nasa,F-3,smap,contextual,chronos_base_quantile,default,,0.01758,0.01778,0.64658,0.04598,3.93,,1824.4,8376,25,0.00489,ok
nasa,F-3,smap,contextual,timesfm_resid,default,,0.01919,0.01974,0.61846,0.04686,53.59,,1901.4,8376,25,0.00489,ok
nasa,F-3,smap,contextual,timesfm_quantile,default,,0.02046,0.02085,0.66003,0.05478,53.59,,1901.4,8376,25,0.00489,ok
nasa,M-6,msl,point,chronos_small_resid,default,,0.10135,0.13521,0.78239,0.10867,0.32,,1593.6,2049,55,0.08834,ok
nasa,M-6,msl,point,chronos_small_quantile,default,,0.07685,0.10169,0.6657,0.08974,0.32,,1593.6,2049,55,0.08834,ok
nasa,M-6,msl,point,chronos_base_resid,default,,0.09,0.12867,0.74178,0.05833,0.66,,1824.4,2049,55,0.08834,ok
nasa,M-6,msl,point,chronos_base_quantile,default,,0.08553,0.11231,0.6576,0.10247,0.66,,1824.4,2049,55,0.08834,ok
nasa,M-6,msl,point,timesfm_resid,default,,0.10598,0.15232,0.75451,0.10644,9.04,,1901.4,2049,55,0.08834,ok
nasa,M-6,msl,point,timesfm_quantile,default,,0.08511,0.11027,0.66165,0.10774,9.04,,1901.4,2049,55,0.08834,ok
nasa,M-1,msl,contextual,chronos_small_resid,default,,0.61292,0.63311,0.94486,0.45353,0.35,,1593.6,2277,55,0.5011,ok
nasa,M-1,msl,contextual,chronos_small_quantile,default,,0.52056,0.55028,0.86905,0.37866,0.35,,1593.6,2277,55,0.5011,ok
nasa,M-1,msl,contextual,chronos_base_resid,default,,0.63336,0.66645,0.90789,0.46025,0.7,,1824.4,2277,55,0.5011,ok
nasa,M-1,msl,contextual,chronos_base_quantile,default,,0.50989,0.54316,0.8487,0.38356,0.7,,1824.4,2277,55,0.5011,ok
nasa,M-1,msl,contextual,timesfm_resid,default,,0.45241,0.47343,0.83206,0.32779,9.29,,1901.4,2277,55,0.5011,ok
nasa,M-1,msl,contextual,timesfm_quantile,default,,0.49028,0.5205,0.80631,0.36093,9.29,,1901.4,2277,55,0.5011,ok
nasa,M-2,msl,contextual,chronos_small_resid,default,,0.60817,0.62856,0.90654,0.45372,0.33,,1593.6,2277,55,0.5011,ok
nasa,M-2,msl,contextual,chronos_small_quantile,default,,0.52523,0.55546,0.82906,0.36766,0.33,,1593.6,2277,55,0.5011,ok
nasa,M-2,msl,contextual,chronos_base_resid,default,,0.62601,0.65881,0.90789,0.45854,0.68,,1824.4,2277,55,0.5011,ok
nasa,M-2,msl,contextual,chronos_base_quantile,default,,0.51487,0.54862,0.82703,0.37418,0.68,,1824.4,2277,55,0.5011,ok
nasa,M-2,msl,contextual,timesfm_resid,default,,0.44924,0.47035,0.83513,0.3268,8.96,,1901.4,2277,55,0.5011,ok
nasa,M-2,msl,contextual,timesfm_quantile,default,,0.49211,0.5212,0.80393,0.34836,8.96,,1901.4,2277,55,0.5011,ok
nasa,S-2,msl,point,chronos_small_resid,default,,0.01346,0.01551,0.71865,0.02654,0.31,,1593.6,1827,55,0.00602,ok
nasa,S-2,msl,point,chronos_small_quantile,default,,0.01005,0.01226,0.92255,0.02098,0.31,,1593.6,1827,55,0.00602,ok
nasa,S-2,msl,point,chronos_base_resid,default,,0.02941,0.02633,0.75795,0.09091,0.61,,1824.4,1827,55,0.00602,ok
nasa,S-2,msl,point,chronos_base_quantile,default,,0.00992,0.01272,0.68333,0.02256,0.61,,1824.4,1827,55,0.00602,ok
nasa,S-2,msl,point,timesfm_resid,default,,0.00589,0.00789,0.72791,0.01124,7.69,,1901.4,1827,55,0.00602,ok
nasa,S-2,msl,point,timesfm_quantile,default,,0.01107,0.01348,0.67118,0.02419,7.69,,1901.4,1827,55,0.00602,ok
nasa,P-10,msl,point,chronos_small_resid,default,,0.06765,0.07185,0.75909,0.16438,0.83,,1593.6,6100,55,0.02148,ok
nasa,P-10,msl,point,chronos_small_quantile,default,,0.0384,0.05097,0.75193,0.08907,0.83,,1593.6,6100,55,0.02148,ok
nasa,P-10,msl,point,chronos_base_resid,default,,0.06095,0.0698,0.76171,0.14166,2.1,,1824.4,6100,55,0.02148,ok
nasa,P-10,msl,point,chronos_base_quantile,default,,0.03715,0.04647,0.83116,0.08929,2.1,,1824.4,6100,55,0.02148,ok
nasa,P-10,msl,point,timesfm_resid,default,,0.06789,0.07138,0.81685,0.15324,23.17,,1901.4,6100,55,0.02148,ok
nasa,P-10,msl,point,timesfm_quantile,default,,0.03508,0.04493,0.7672,0.07658,23.17,,1901.4,6100,55,0.02148,ok
nasa,T-4,msl,point,chronos_small_resid,default,,0.06774,0.07962,0.96388,0.1957,0.35,,1593.6,2217,55,0.03112,ok
nasa,T-4,msl,point,chronos_small_quantile,default,,0.03538,0.04593,0.80406,0.05264,0.35,,1593.6,2217,55,0.03112,ok
nasa,T-4,msl,point,chronos_base_resid,default,,0.04037,0.04409,0.97221,0.18661,0.55,,1824.4,2217,55,0.03112,ok
nasa,T-4,msl,point,chronos_base_quantile,default,,0.03914,0.05334,0.68628,0.05089,0.55,,1824.4,2217,55,0.03112,ok
nasa,T-4,msl,point,timesfm_resid,default,,0.08484,0.08376,0.99079,0.28947,9.95,,1901.4,2217,55,0.03112,ok
nasa,T-4,msl,point,timesfm_quantile,default,,0.03404,0.04661,0.72821,0.05603,9.95,,1901.4,2217,55,0.03112,ok
nasa,T-5,msl,point,chronos_small_resid,default,,0.01308,0.01684,0.67875,0.01587,0.51,,1593.6,2218,55,0.01172,ok
nasa,T-5,msl,point,chronos_small_quantile,default,,0.01825,0.02271,0.80151,0.02474,0.51,,1593.6,2218,55,0.01172,ok
nasa,T-5,msl,point,chronos_base_resid,default,,0.02207,0.02725,0.65459,0.05021,1.11,,1824.4,2218,55,0.01172,ok
nasa,T-5,msl,point,chronos_base_quantile,default,,0.01604,0.02288,0.67017,0.02428,1.11,,1824.4,2218,55,0.01172,ok
nasa,T-5,msl,point,timesfm_resid,default,,0.00902,0.0128,0.86113,0.00702,16.06,,1901.4,2218,55,0.01172,ok
nasa,T-5,msl,point,timesfm_quantile,default,,0.01482,0.02041,0.72419,0.03172,16.06,,1901.4,2218,55,0.01172,ok
nasa,F-7,msl,contextual,chronos_small_resid,default,,0.08081,0.12615,0.69177,0.07244,1.05,,1593.6,5054,55,0.0837,ok
nasa,F-7,msl,contextual,chronos_small_quantile,default,,0.09844,0.14721,0.71404,0.16134,1.05,,1593.6,5054,55,0.0837,ok
