dataset,series,detector,raw,detrended,ma100,detrended_ma100
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,timesfm_resid,0.028052133222640774,0.02823986627954435,0.08158705213059096,0.050257657013922624
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,tirex_resid,0.021803623989430164,0.021773475494772418,0.02299599517968174,0.019510926947332412
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,chronos_base_resid,0.025201544250592366,0.024662164016107373,0.04798580725577991,0.031494567343954824
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,chronos_small_resid,0.02397835132223917,0.023626329440301037,0.041092363496047585,0.02828188219825387
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,knn,0.3077652259546886,0.30782809778787196,0.3503939835586932,0.3503088857283777
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,lof,0.040120165919816174,0.04011787713532275,0.040082255268897485,0.040095930449251485
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,ae,0.03655601473481331,0.03655302521431018,0.03364958105210966,0.03365055789831074
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,iforest,0.25591205401599704,0.25538235052933367,0.275152377997943,0.27515180797556266
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,timesfm_resid,0.19347579715172297,0.17763229441048722,0.4445955826015433,0.41413581487265716
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,tirex_resid,0.20720319218112246,0.2040304594873697,0.4245827585073324,0.4045101675723914
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,chronos_base_resid,0.08264966700316598,0.09291004907297264,0.3196740850946809,0.32830341968055143
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,chronos_small_resid,0.08511346246414672,0.08527186373156402,0.31251066676438644,0.317428703795842
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,knn,0.744520174660521,0.7448412300875169,0.801818988152464,0.8015317711446662
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,lof,0.7504381061508756,0.7516878387038619,0.8200489373788762,0.8203222257338387
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,ae,0.7331498503803802,0.7329020860180961,0.7820694485223204,0.781645815582152
ucr,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,iforest,0.5002038542764644,0.49979580762610537,0.502836278651764,0.5031060729545049
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,timesfm_resid,0.07284916950319367,0.04331579381120274,0.014033192124134144,0.014013225693858464
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,tirex_resid,0.05890954511474586,0.04606068409525743,0.016926682692108175,0.016454252001120613
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,chronos_base_resid,0.07572551761024561,0.07174228296492526,0.017243426664254838,0.016514172650585635
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,chronos_small_resid,0.09095131810166107,0.07504791991408716,0.021497765385065235,0.018674455270341873
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,knn,0.1389930037446845,0.13880458229084605,0.11478022138609598,0.11492994835777252
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,lof,0.055149974358964626,0.05529591146651164,0.04797684674506954,0.047969814921162326
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,ae,0.8949177818615274,0.893705978923683,0.8908516416113579,0.9005689156731451
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,iforest,0.007680566623334344,0.007380786415882831,0.006797221534764389,0.006785446634994733
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,timesfm_resid,0.08054842661991687,0.1407799759985805,0.46700839472297295,0.49705286437749124
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,tirex_resid,0.08024388874909733,0.13733763287856715,0.5921804422739521,0.6380566986356877
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,chronos_base_resid,0.09111418954305812,0.15939657726585119,0.5102264713365208,0.5486833918184667
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,chronos_small_resid,0.11176640826008381,0.17188126925563324,0.5470443752879709,0.6048901882266944
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,knn,0.6377795488498282,0.6389050241474425,0.6745676229176373,0.674719382595864
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,lof,0.19544088997811998,0.2009307904756363,0.1734571933652511,0.17351465980816305
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,ae,0.8263725248844871,0.8222272792193583,0.8583824916775972,0.8587816143938679
ucr,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,iforest,0.0328727891925766,0.03319799635901827,0.03600997869198309,0.03599150619085231
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,timesfm_resid,0.018419612252804828,0.017935876802655428,0.06286976252859736,0.06775424496558843
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,tirex_resid,0.009899820723642584,0.00989718688767677,0.0067484813966014355,0.007377190018770279
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,chronos_base_resid,0.017668007384508515,0.01684651613519251,0.01569964245374978,0.015364918024034911
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,chronos_small_resid,0.016525593437399438,0.015566525221472036,0.014570634971307922,0.013875404433113962
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,knn,0.2794959005141863,0.27429172197290497,0.2907427721515384,0.29074595520948066
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,lof,0.6421361302885598,0.6424837885392402,0.6958970214517521,0.695748311401595
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,ae,0.09113012326018681,0.09050680663034809,0.10381096357951498,0.10442128077223009
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,iforest,0.004956530544855328,0.004957965297104393,0.0051372249910941435,0.005137222885478821
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,timesfm_resid,0.03237154470897637,0.02612576784646498,0.35936257964658835,0.3372129856346048
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,tirex_resid,0.008070372487845708,0.00778598133249766,0.014848965753028572,0.009837445027103174
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,chronos_base_resid,0.0290916098839919,0.021601338277433685,0.38898112791206607,0.3721687613286988
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,chronos_small_resid,0.0225966647454964,0.022131440638978206,0.5840165233892507,0.5104563026020974
