dataset,series,domain,detector,auc_pr,vus_pr,event_f1,runtime_s,n_test,anomaly_frac,status
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,iforest,0.37022,0.33772,0.61307,1.73,44795,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,lof,0.03834,0.03888,0.17861,3.93,44795,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,ae,0.03718,0.03714,0.1754,9.87,44795,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,chronos_bolt_small,0.02095,0.02282,0.21348,14.49,44795,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,chronos_bolt_base,,,,,44795,0.01386,"error: OSError: Can't load the model for 'amazon/chronos-bolt-base'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'amazon/chronos-bolt-base' is the correct path to a directory containing a file named pytorch_model.bin."
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,DISTORTEDCIMIS44AirTemperature3,iforest,0.0049,0.01699,0.0,0.69,4184,0.00598,ok
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,DISTORTEDCIMIS44AirTemperature3,lof,0.03867,0.07692,0.13438,0.2,4184,0.00598,ok
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,DISTORTEDCIMIS44AirTemperature3,ae,0.51992,0.38687,0.7898,1.01,4184,0.00598,ok
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,DISTORTEDCIMIS44AirTemperature3,chronos_bolt_small,0.16078,0.09567,0.46054,0.14,4184,0.00598,ok
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,DISTORTEDCIMIS44AirTemperature3,chronos_bolt_base,0.1264,0.07881,0.4089,94.01,4184,0.00598,ok
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,DISTORTEDECG3,iforest,0.00233,0.00405,0.0,1.19,22000,0.00459,ok
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,DISTORTEDECG3,lof,0.78243,0.71905,0.79136,0.51,22000,0.00459,ok
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,DISTORTEDECG3,ae,0.00316,0.00519,0.01274,1.48,22000,0.00459,ok
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,DISTORTEDECG3,chronos_bolt_small,0.01562,0.01592,0.09483,0.48,22000,0.00459,ok
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,DISTORTEDECG3,chronos_bolt_base,0.01662,0.01699,0.10355,0.65,22000,0.00459,ok
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,DISTORTEDGP711MarkerLFM5z2,iforest,0.21591,0.22029,0.49766,0.71,7000,0.03057,ok
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,DISTORTEDGP711MarkerLFM5z2,lof,0.94169,0.9368,0.97153,0.22,7000,0.03057,ok
