detector,series,forecast_err_normal,sep_ratio,effect,vus_pr
ae,nasa/E-9,0.208998,0.0741,-1.0500,0.3998
ae,nasa/E-11,0.215343,1.0441,0.0577,0.1816
ae,nasa/E-13,0.36166,1.1909,0.5630,0.0358
ae,nasa/D-1,0.34316,33.7164,113.1688,0.5002
ae,nasa/P-3,0.240634,0.5101,-0.6691,0.2044
ae,nasa/D-3,1.43083,45.6468,4.8086,0.4590
ae,nasa/A-2,0.378918,0.6454,-1.0212,0.0129
ae,nasa/A-4,0.306673,0.9235,-0.2709,0.0144
ae,nasa/D-6,0.399855,1.7769,2.5633,0.0170
ae,nasa/F-1,0.106199,0.5627,-0.3885,0.0124
ae,nasa/G-3,0.318731,1.3968,1.1349,0.0112
ae,nasa/T-2,0.0191996,1.0733,0.9358,0.5635
ae,nasa/D-9,0.000453722,0.9422,-0.0459,0.8766
ae,nasa/G-4,0.413312,90.6305,12.6481,0.8600
ae,nasa/D-11,0.0107938,4.7032,5.5224,0.1019
ae,nasa/G-7,0.0379236,21.7586,9.1407,0.2370
ae,nasa/A-6,4.14903,2.4579,3.3006,0.9459
ae,nasa/A-8,0.00324646,3.0733,14.8052,0.5415
ae,nasa/M-1,0.105886,1.3410,1.0531,0.5642
ae,nasa/F-7,0.125919,0.5989,-0.7667,0.1069
ae,nasa/M-4,0.149388,0.9309,-0.2970,0.1860
ae,nasa/P-15,2.90186,3.2967,2.4620,0.0138
ae,nasa/D-15,0.165994,1.0779,0.1924,0.5027
ae,psm/psm,0.404596,1.6769,0.4026,0.6815
ae,smd/machine-1-2,1.14192,4.1697,4.3091,0.3551
ae,smd/machine-1-4,44.8389,0.6474,-0.0179,0.3444
ae,smd/machine-1-6,5.29995,12.9756,15.0264,0.5978
ae,smd/machine-1-8,1.02288,15.0623,2.6310,0.2884
ae,smd/machine-2-4,0.49539,40.4556,7.3209,0.4697
ae,smd/machine-2-6,25.4913,30.5036,6.9573,0.5543
ae,smd/machine-3-1,71.7945,204.9907,9.2712,0.6877
ae,smd/machine-3-3,0.546014,3.6702,1.2776,0.1225
ae,smd/machine-3-5,14.3697,1.5228,0.1903,0.4027
ae,smd/machine-3-7,108.985,41.3295,3.3974,0.6152
ae,smd/machine-3-9,108.884,1.3547,0.0187,0.6429
ae,ucr/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900,0.0288315,0.3598,-0.2560,0.0086
ae,ucr/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,0.135339,6.2805,13.7835,0.7332
ae,ucr/006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,0.13399,3.4468,6.7592,0.8945
ae,ucr/008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,0.119873,1.6254,2.1748,0.3091
ae,ucr/010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,0.121568,4.8016,7.4333,0.8265
ae,ucr/012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,0.0635661,4.4973,3.0941,0.0951
ae,ucr/014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,0.10027,1.5068,1.7771,0.0912
ae,ucr/016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100,0.18543,3.8127,9.5273,0.7469
ae,ucr/018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100,0.100753,1.1462,0.5257,0.0092
ae,ucr/020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,0.0268064,5.5065,5.9815,0.6408
ae,ucr/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645,0.0288228,6.1385,12.9677,0.9196
ae,ucr/024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556,0.0969141,1.2099,0.7603,0.0266
ae,ucr/026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,0.103772,1.0661,0.2344,0.0515
ae,ucr/028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309,0.0763591,1.6740,2.0148,0.1424
ae,ucr/030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,0.0319645,2.7484,3.4685,0.0974
ae,ucr/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,0.26436,1.9931,4.9686,0.6367
ae,ucr/034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629,0.0953753,4.1520,10.0835,0.7021
