detector,width,mean_vus,median_vus,n
knn,1,0.3223,0.2110,360
knn,32,0.3221,0.2132,360
knn,100,0.3280,0.2020,360
knn,300,0.3033,0.1807,360
ae,1,0.3078,0.1706,360
ae,32,0.3087,0.1832,360
ae,100,0.3180,0.1749,360
ae,300,0.2982,0.1469,360
lof,1,0.2727,0.1062,360
lof,32,0.2722,0.1108,360
lof,100,0.2800,0.1086,360
lof,300,0.2819,0.0930,360
iforest,1,0.1443,0.0316,360
iforest,32,0.1452,0.0316,360
iforest,100,0.1511,0.0315,360
iforest,300,0.1442,0.0276,360
timesfm_resid,1,0.0796,0.0286,360
timesfm_resid,32,0.1107,0.0481,360
timesfm_resid,100,0.1493,0.0565,360
timesfm_resid,300,0.1609,0.0559,360
tirex_resid,1,0.0778,0.0250,360
tirex_resid,32,0.1098,0.0459,360
tirex_resid,100,0.1491,0.0489,360
tirex_resid,300,0.1540,0.0516,360
chronos_base_resid,1,0.0692,0.0229,360
chronos_base_resid,32,0.0934,0.0291,360
chronos_base_resid,100,0.1225,0.0336,360
chronos_base_resid,300,0.1334,0.0370,360
chronos_small_resid,1,0.0652,0.0209,360
chronos_small_resid,32,0.0891,0.0281,360
chronos_small_resid,100,0.1226,0.0331,360
chronos_small_resid,300,0.1339,0.0361,360
