dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,chronos_small_resid,default,,0.02096,0.02398,0.67275,0.0048,29.46,,249.5,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,chronos_small_quantile,default,,0.01437,0.01631,0.66675,1.0,29.46,,249.5,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,chronos_base_resid,default,,0.02255,0.0252,0.67395,0.00478,3.85,,892.2,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,chronos_base_quantile,default,,0.01399,0.01615,0.66675,1.0,3.85,,892.2,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,timesfm_resid,default,,0.02338,0.02804,0.68928,0.00503,20.51,,1894.7,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,timesfm_quantile,default,,0.01639,0.01844,0.676,1.0,20.51,,1894.7,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,tirex_resid,default,,0.018,0.0218,0.66716,0.0045,18.81,,2025.3,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,tirex_quantile,default,,0.01314,0.01556,0.69596,1.0,18.81,,2025.3,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,iforest,default,,0.37022,0.25531,0.99677,0.37429,3.23,,1585.6,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,iforest,tuned,"{'w': 100, 'n_estimators': 200}",0.37022,0.25531,0.99677,0.37429,6.08,12.26,0.0,44795,1,0.01386,ok
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620,DISTORTED1sddb40,,lof,default,,0.03834,0.04012,0.63636,0.04444,4.29,,1585.6,44795,1,0.01386,ok
