dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,,knn,tuned,"{'w': 50, 'k': 5}",0.05982,0.06578,0.78929,0.2881,0.69,3.97,0.0,7001,1,0.00443,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,,ae,default,,0.00404,0.00597,0.75673,0.0,6.89,,24.3,7001,1,0.00443,ok
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030,DISTORTEDinsectEPG1,,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.01447,0.01735,0.76872,0.09356,3.55,9.98,0.0,7001,1,0.00443,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,chronos_small_resid,default,,0.00669,0.0091,0.68721,0.00594,26.55,,190.5,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,chronos_small_quantile,default,,0.01097,0.01115,0.69274,1.0,26.55,,190.5,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,chronos_base_resid,default,,0.0084,0.01038,0.71684,0.01535,3.06,,725.2,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,chronos_base_quantile,default,,0.03462,0.02439,0.80278,1.0,3.06,,725.2,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,timesfm_resid,default,,0.01084,0.01059,0.74647,0.01641,10.08,,1902.4,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,timesfm_quantile,default,,0.00741,0.00978,0.67563,1.0,10.08,,1902.4,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,tirex_resid,default,,0.0109,0.01291,0.73732,0.01478,8.12,,1829.1,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,tirex_quantile,default,,0.00681,0.00926,0.69883,1.0,8.12,,1829.1,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,iforest,default,,0.00848,0.01203,0.95559,0.08685,1.23,,1594.4,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,lof,default,,0.00327,0.00496,0.87328,0.0,0.21,,1594.4,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,knn,default,,0.87105,0.69195,0.99781,0.85,0.13,,1594.4,8698,1,0.00586,ok
ucr,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558,DISTORTEDinsectEPG4,,ae,default,,0.00319,0.00501,0.95338,0.0,0.94,,1603.5,8698,1,0.00586,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,chronos_small_resid,default,,0.24288,0.09454,0.99898,0.10351,0.49,,1739.9,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,chronos_small_quantile,default,,0.0077,0.00995,0.7359,1.0,0.49,,1739.9,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,chronos_base_resid,default,,0.27574,0.09402,0.99897,0.04147,0.83,,1970.7,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,chronos_base_quantile,default,,0.00814,0.01036,0.70084,1.0,0.83,,1970.7,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,timesfm_resid,default,,0.09804,0.04697,0.85537,0.01425,10.42,,2047.0,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,timesfm_quantile,default,,0.07923,0.02842,0.96478,1.0,10.42,,2047.0,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,tirex_resid,default,,0.1064,0.04179,0.88762,0.01262,11.25,,2034.5,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,tirex_quantile,default,,0.00837,0.01019,0.67467,1.0,11.25,,2034.5,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,iforest,default,,0.75658,0.47379,0.99867,0.525,2.64,,1594.4,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,iforest,tuned,"{'w': 100, 'n_estimators': 100}",0.74775,0.46952,0.99866,0.51923,4.26,11.27,0.0,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,lof,default,,0.89877,0.70475,0.9981,0.91667,1.4,,1594.4,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,lof,tuned,"{'w': 200, 'k': 10}",0.93526,0.85986,0.99867,1.0,2.61,8.56,0.0,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,knn,default,,0.89246,0.69461,0.99813,0.875,0.95,,1594.4,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,knn,tuned,"{'w': 100, 'k': 3}",0.89362,0.69834,0.99813,0.875,2.86,4.96,0.0,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,ae,default,,0.81166,0.65037,0.99802,0.875,8.66,,1613.5,32000,1,0.00628,ok
ucr,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,DISTORTEDltstdbs30791AS,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 8}",0.84487,0.67157,0.9981,0.875,10.44,47.22,0.0,32000,1,0.00628,ok
ucr,074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800,DISTORTEDqtdbSel1005V,,chronos_small_resid,default,,0.01129,0.01474,0.65533,0.00338,0.32,,1739.9,32001,1,0.01253,ok
ucr,074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800,DISTORTEDqtdbSel1005V,,chronos_small_quantile,default,,0.01332,0.01785,0.66822,1.0,0.32,,1739.9,32001,1,0.01253,ok
ucr,074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800,DISTORTEDqtdbSel1005V,,chronos_base_resid,default,,0.01092,0.01464,0.65397,0.00334,0.89,,1970.7,32001,1,0.01253,ok
ucr,074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800,DISTORTEDqtdbSel1005V,,chronos_base_quantile,default,,0.01489,0.02024,0.76188,1.0,0.89,,1970.7,32001,1,0.01253,ok
